v,t,y,x
1,347220553,-74.254,40.898
1,347220553,-74.256,40.898
1,347220553,-74.256,40.9
1,347220853,-74.256,40.9
1,347220853,-74.256,40.902
1,347220553,-74.256,40.902
1,347220553,-74.254,40.902
1,347220853,-74.254,40.902
1,347220853,-74.254,40.9
1,347220553,-74.254,40.9
1,347220553,-74.252,40.9
1,347220853,-74.252,40.9
1,347220853,-74.252,40.902
1,347220553,-74.252,40.902
1,347220553,-74.25,40.902
1,347220853,-74.25,40.902
1,347220853,-74.25,40.9
1,347220553,-74.25,40.9
1,347220553,-74.25,40.898
1,347220553,-74.25,40.896
1,347220553,-74.252,40.896
1,347220553,-74.252,40.898
1,347220853,-74.252,40.898
1,347220853,-74.252,40.896
1,347220853,-74.25,40.896
1,347220853,-74.25,40.898
1,347221153,-74.25,40.898
1,347221153,-74.25,40.896
1,347221153,-74.252,40.896
1,347221153,-74.252,40.898
1,347221453,-74.252,40.898
1,347221453,-74.252,40.896
1,347221453,-74.25,40.896
1,347221453,-74.25,40.898
1,347221453,-74.25,40.9
1,347221153,-74.25,40.9
1,347221153,-74.25,40.902
1,347221453,-74.25,40.902
1,347221453,-74.252,40.902
1,347221153,-74.252,40.902
1,347221153,-74.252,40.9
1,347221453,-74.252,40.9
1,347221453,-74.254,40.9
1,347221153,-74.254,40.9
1,347221153,-74.254,40.902
1,347221453,-74.254,40.902
1,347221453,-74.256,40.902
1,347221153,-74.256,40.902
1,347221153,-74.256,40.9
1,347221453,-74.256,40.9
1,347221453,-74.256,40.898
1,347221453,-74.254,40.898
1,347221153,-74.254,40.898
1,347221153,-74.256,40.898
1,347221153,-74.256,40.896
1,347221153,-74.254,40.896
1,347221453,-74.254,40.896
1,347221453,-74.256,40.896
1,347221453,-74.258,40.896
1,347221153,-74.258,40.896
1,347221153,-74.258,40.898
1,347221453,-74.258,40.898
1,347221453,-74.26,40.898
1,347221153,-74.26,40.898
1,347221153,-74.26,40.896
1,347221453,-74.26,40.896
1,347220553,-74.26,40.896
1,347220553,-74.258,40.896
1,347220853,-74.258,40.896
1,347220853,-74.26,40.896
1,347220853,-74.26,40.898
1,347220853,-74.258,40.898
1,347220553,-74.258,40.898
1,347220553,-74.26,40.898
1,347220553,-74.26,40.9
1,347220553,-74.258,40.9
1,347220853,-74.258,40.9
1,347220853,-74.26,40.9
1,347220853,-74.26,40.902
1,347220853,-74.258,40.902
1,347220553,-74.258,40.902
1,347220553,-74.26,40.902
1,347221453,-74.26,40.902
1,347221153,-74.26,40.902
1,347221153,-74.26,40.9
1,347221453,-74.26,40.9
1,347221453,-74.258,40.9
1,347221153,-74.258,40.9
1,347221153,-74.258,40.902
1,347221453,-74.258,40.902
1,347221453,-74.258,40.904
1,347221153,-74.258,40.904
1,347221153,-74.258,40.906
1,347221453,-74.258,40.906
1,347221453,-74.26,40.906
1,347221153,-74.26,40.906
1,347221153,-74.26,40.904
1,347221453,-74.26,40.904
1,347220553,-74.26,40.904
1,347220553,-74.258,40.904
1,347220853,-74.258,40.904
1,347220853,-74.26,40.904
1,347220853,-74.26,40.906
1,347220853,-74.258,40.906
1,347220553,-74.258,40.906
1,347220553,-74.26,40.906
1,347220553,-74.26,40.908
1,347220553,-74.258,40.908
1,347220853,-74.258,40.908
1,347220853,-74.26,40.908
1,347220853,-74.26,40.91
1,347220853,-74.258,40.91
1,347220553,-74.258,40.91
1,347220553,-74.26,40.91
1,347221453,-74.26,40.91
1,347221153,-74.26,40.91
1,347221153,-74.26,40.908
1,347221453,-74.26,40.908
1,347221453,-74.258,40.908
